;('LV4.101 Bus 1', 'L1');('LV4.101 Bus 10', 'L1');('LV4.101 Bus 11', 'L1');('LV4.101 Bus 12', 'L1');('LV4.101 Bus 13', 'L1');('LV4.101 Bus 14', 'L1');('LV4.101 Bus 15', 'L1');('LV4.101 Bus 16', 'L1');('LV4.101 Bus 17', 'L1');('LV4.101 Bus 18', 'L1');('LV4.101 Bus 19', 'L1');('LV4.101 Bus 2', 'L1');('LV4.101 Bus 20', 'L1');('LV4.101 Bus 21', 'L1');('LV4.101 Bus 22', 'L1');('LV4.101 Bus 23', 'L1');('LV4.101 Bus 24', 'L1');('LV4.101 Bus 25', 'L1');('LV4.101 Bus 26', 'L1');('LV4.101 Bus 28', 'L1');('LV4.101 Bus 29', 'L1');('LV4.101 Bus 3', 'L1');('LV4.101 Bus 30', 'L1');('LV4.101 Bus 31', 'L1');('LV4.101 Bus 32', 'L1');('LV4.101 Bus 33', 'L1');('LV4.101 Bus 34', 'L1');('LV4.101 Bus 35', 'L1');('LV4.101 Bus 36', 'L1');('LV4.101 Bus 37', 'L1');('LV4.101 Bus 38', 'L1');('LV4.101 Bus 39', 'L1');('LV4.101 Bus 4', 'L1');('LV4.101 Bus 40', 'L1');('LV4.101 Bus 41', 'L1');('LV4.101 Bus 42', 'L1');('LV4.101 Bus 43', 'L1');('LV4.101 Bus 44', 'L1');('LV4.101 Bus 5', 'L1');('LV4.101 Bus 6', 'L1');('LV4.101 Bus 7', 'L1');('LV4.101 Bus 8', 'L1');('LV4.101 Bus 9', 'L1');('MV1.101 Bus 52', 'L1');('metainfo', 'in the first', 'few indices')
2016-10-18 00:00:00;0.9999962269460991;0.9999376470879763;0.9999978425023732;0.9999973461929109;0.999855907027284;1.0;1.0037213338354283;1.0;0.9998928206972452;1.001706784273016;1.0;1.0036618340548484;1.0036694946184308;1.0;0.999993650330097;0.9999988864999231;1.0;0.9998534623112524;1.0023699870652596;0.9999693586605828;1.0;0.9999557007626892;0.9999999999999999;1.0037172697448113;1.0037237266970398;0.9999806106511314;0.9999654242558133;1.0004582099363106;1.002110894676047;1.0014107468979458;1.0007749594478195;1.000429751050485;0.9998678075747784;1.0001059112899957;0.9999999999999999;1.0001906851697935;1.0001025052540788;1.0;1.0035394307347099;0.9998638301649881;0.9999874272482346;0.9999999999999999;1.0036647771939367;1.024999976158142;simulation#2564
2016-10-18 00:15:00;0.9999977025620463;0.999951677932074;0.9999987743752071;0.9999982204044805;0.9998736763762048;1.0;1.0036817179531419;0.9999999999999999;0.9999066990290668;1.0016894733160784;1.0;1.00362504586363;1.0036319993868879;1.0;0.9999962750764123;0.9999992493077978;1.0;0.9998707414928705;1.0023447972634827;0.9999731045599991;1.0;0.9999619272022301;1.0;1.0036779261481865;1.0036840510912648;0.9999824665890903;0.9999693583948583;1.0004535032070205;1.0020919453402033;1.0014023980011328;1.0007636777689741;1.0004172092041992;0.9998858914756205;1.0000859445407395;1.0;1.0001815445526618;1.0000970658987154;1.0;1.0035020064710582;0.9998821094711772;0.9999880249950472;1.0;1.0036281436872223;1.024999976158142;comment data format: active and reactive powers in Watts
2016-10-18 00:30:00;0.9999991011589715;0.9999767436260177;0.9999997482087011;0.999998869742496;0.9999281170418727;1.0;1.0035347430241148;1.0;0.9999480308395576;1.0016240151486004;1.0;1.0034911170320397;1.0034966690833709;0.9999999999999999;0.9999988986295865;0.9999995091432556;1.0;0.9999256231538001;1.002252760582292;0.9999844548297409;1.0;0.9999788260785111;0.9999999999999999;1.003531761461855;1.0035366472323186;0.9999885885677113;0.9999820028419832;1.0004358775658715;1.0020142540407495;1.0013592743307151;1.0007427168694627;1.0004101808871078;0.9999365711678119;1.0001017001210109;1.0;1.0001774903062024;1.000095133993323;0.9999999999999999;1.003362347099561;0.9999341348603492;0.9999917177980845;0.9999999999999999;1.003494013340553;1.024999976158142;step time in minutes: 15
2016-10-18 00:45:00;0.9999987051401182;0.999976527954289;0.9999994209004369;0.9999987767653983;0.9999392782464342;1.0;1.0034540507003853;0.9999999999999999;0.9999576558443634;1.001586377142701;1.0;1.0034083099338256;1.0034142092607723;1.0;0.9999980688031616;0.9999994746209848;1.0;0.9999368532342304;1.0022009849281346;0.9999871366724422;1.0;0.9999813566078137;1.0;1.0034509917913945;1.0034559529612215;0.9999901281760417;0.9999838994458169;1.0004257932550726;1.00200354325305;1.0013822047363248;1.0007580376811789;1.0004215494903181;0.9999463071039161;1.0001100419660922;1.0;1.0001856624934395;1.0000997505937186;1.0;1.0032855189946426;0.9999441690259121;0.999992610866502;1.0;1.0034112060033384;1.024999976158142;start time of simulation: 2016-10-18 00:00:00+00:00
2016-10-18 01:00:00;0.9999984666771555;0.9999747802124984;0.9999992310382314;0.9999987066246919;0.9999390721183741;1.0;1.0034466906525177;1.0;0.9999565463242273;1.0015832231363528;1.0;1.0034024766159733;1.0034088423107448;1.0;0.999997579190936;0.9999994463800882;1.0;0.9999371741616396;1.0021969088086984;0.9999870659105445;1.0;0.9999811987997865;1.0;1.0034437841951223;1.003448411476968;0.9999906405855096;0.9999843711832146;1.0004249377981653;1.0020012442192967;1.0013782982035206;1.0007555425241486;1.0004178924071045;0.9999452692508193;1.0001062198952817;1.0;1.0001805634655219;1.0000966112615945;1.0;1.0032784044379095;0.9999433055498579;0.9999933310823611;1.0;1.003405517716554;1.024999976158142;end time of simulation: 2016-11-01 00:00:00+00:00
2016-10-18 01:15:00;0.9999990458443369;0.9999865820541497;0.9999997393235632;0.9999987772611947;0.9999617311052003;1.0;1.0033207127531079;1.0;0.9999719677298167;1.0015273746025888;1.0;1.00328710762538;1.0032928550486302;1.0;0.9999988334035956;0.9999994662576135;1.0;0.9999606190054801;1.0021186691746387;0.999991383612915;1.0;0.9999887365792326;1.0;1.0033183829987837;1.0033220769379338;0.9999931685877768;0.9999906654113355;1.0004099661761143;1.001998068002916;1.0014300470872324;1.0007906867427898;1.0004421108978143;0.9999657867359628;1.00011914581625;1.0;1.0001980319508104;1.0001065559211686;0.9999999999999999;1.0031586673960005;0.9999645753165434;0.9999953619964727;1.0;1.0032901056792176;1.024999976158142;"[""terminal(s) with malfunction: ['LV4.101 Bus 8']"", 'type of malfunction: EVSE without P(U) control']"
2016-10-18 01:30:00;0.9999987015934986;0.9999808338399357;0.9999994459426288;0.9999987170739797;0.9999523891107397;1.0;1.003321346283164;1.0;0.9999659827846681;1.0015265872022343;0.9999999999999999;1.0032824055435225;1.0032884154125916;1.0;0.9999980989176528;0.9999994443795006;1.0;0.9999508756987014;1.0021179814069434;0.9999896855164061;1.0;0.9999854451951756;1.0;1.0033187219835078;1.0033228934361529;0.9999921223900566;0.9999878524430328;1.0004097618917234;1.0020036119665867;1.0014306139683316;1.0007943519471816;1.000444069071724;0.999957310356837;1.0001222444873243;1.0;1.0001969305980136;1.0001059817777544;1.0;1.0031592352775593;0.999955768101531;0.9999944577392841;1.0;1.0032853766949743;1.024999976158142;terminals with PVs: ['LV4.101 Bus 29', 'LV4.101 Bus 16', 'LV4.101 Bus 44', 'LV4.101 Bus 8', 'LV4.101 Bus 41', 'LV4.101 Bus 21', 'LV4.101 Bus 14', 'LV4.101 Bus 30', 'LV4.101 Bus 19', 'LV4.101 Bus 24']
2016-10-18 01:45:00;0.9999984527313821;0.999974427839687;0.9999991263134672;0.9999988804738744;0.9999410162415626;1.0;1.003296034075418;1.0;0.9999572534619118;1.0015144810835697;1.0;1.0032548719132466;1.003261270051407;1.0;0.9999974031426172;0.9999995248999554;1.0;0.9999395610107736;1.0021015875085162;0.9999875687822853;1.0;0.9999817127284054;1.0;1.0032934352004872;1.0032974942858932;0.9999916384796186;0.9999852324332436;1.000406536603655;1.0020018316689088;1.001444860906962;1.0008017135048217;1.0004498561964275;0.9999464224036364;1.0001279662564113;1.0;1.0002007274379825;1.00010807914882;1.0;1.0031350682688465;0.999944647598693;0.9999942438700341;0.9999999999999999;1.0032578698707564;1.024999976158142;terminals with EVSE: ['LV4.101 Bus 43', 'LV4.101 Bus 44', 'LV4.101 Bus 8', 'LV4.101 Bus 22', 'LV4.101 Bus 21', 'LV4.101 Bus 42', 'LV4.101 Bus 18', 'LV4.101 Bus 2', 'LV4.101 Bus 37', 'LV4.101 Bus 14']
2016-10-18 02:00:00;0.999998484637831;0.9999773764937239;0.9999993713444849;0.9999984676963243;0.9999430160282408;1.0;1.0032869094865806;1.0;0.9999591944540732;1.0015103664495917;1.0;1.0032444395374074;1.0032506553386442;1.0;0.9999978090845577;0.9999993356893018;1.0;0.9999412100033747;1.002095523248188;0.9999876213326143;1.0;0.999982640053608;1.0;1.0032839745002118;1.00328868070114;0.9999905345395225;0.9999855099048315;1.0004054342257376;1.0020036429651702;1.0014475821867073;1.000804184759912;1.000450200692988;0.9999489353938087;1.0001238850216532;1.0;1.0002012562857199;1.0001083014840642;1.0;1.0031265573136177;0.9999470918674986;0.9999933511707914;1.0;1.003247480159011;1.024999976158142;
2016-10-18 02:15:00;0.9999986024479856;0.9999819077516201;0.9999995166982195;0.9999984009961891;0.9999531478313178;1.0;1.003290686074266;1.0;0.9999659141247561;1.0015129647172842;0.9999999999999999;1.0032536785726587;1.0032596131329103;1.0;0.9999981297073712;0.9999993032969301;1.0;0.9999518259074961;1.0020989433192746;0.9999895257241229;1.0;0.9999859421745134;1.0;1.0032880367185368;1.003292267171651;0.9999917035478216;0.9999884225303509;1.0004061217168394;1.0019932914765237;1.0014346372583727;1.0007946518614437;1.0004445710673326;0.9999578492522916;1.0001276574495759;1.0;1.0001943990232924;1.0001045526583703;1.0;1.0031301178982077;0.999956389874736;0.9999943914495695;1.0;1.0032566496390376;1.024999976158142;
